movieid,title,mpaa_rating,budget,gross,release_date,genre,runtime,rating,rating_count,summary
1,Look Who's Talking,PG-13,7500000,296000000,10/12/1989,Romance,93,5.9,73638,"After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn boy is narrated through voice-over."
2,Driving Miss Daisy,PG,7500000,145793296,12/13/1989,Comedy,99,7.4,91075,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
3,Turner & Hooch,PG,13000000,71079915,7/28/1989,Crime,100,7.2,91415,"Det. Scott Turner (Tom Hanks) is an uptight, by-the-book police officer. When his friend Amos Reed (John McIntire), the proprietor of a junkyard, is killed, Turner reluctantly inherits the man's dog. Turner adjusts to life with the dog to help solve a murder case."
4,Born on the Fourth of July,R,14000000,161001698,12/20/1989,War,145,7.2,91415,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for."
5,Field of Dreams,PG,15000000,84431625,4/21/1989,Drama,107,7.5,101702,"An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the 1919 Chicago White Sox come."
6,Uncle Buck,PG,15000000,79258538,8/16/1989,Family,100,7,77659,Bachelor and all-round slob Buck babysits his brothers rebellious teenage daughter and her cute younger brother and sister.
7,When Harry Met Sally...,R,16000000,92800000,7/21/1989,Romance,96,7.6,180871,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
8,Dead Poets Society,PG,16400000,235860116,6/2/1989,Drama,129,8.1,382002,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
9,Parenthood,PG-13,20000000,126297830,7/31/1989,Comedy,124,7,41866,"The Buckmans are a midwestern family all dealing with their lives: estranged relatives, raising children, pressures of the job, and learning to be a good parent and spouse."
10,Lethal Weapon 2,R,25000000,227853986,7/7/1989,Comedy,114,7.2,151737,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.
11,The War of the Roses,R,26000000,160200000,12/8/1989,Comedy,116,6.8,45248,A married couple try everything to get each other to leave the house in a vicious divorce battle.
12,National Lampoon's Christmas Vacation,PG-13,27000000,71320000,12/1/1989,Action,97,7.6,135690,The Griswold familys plans for a big family Christmas predictably turn into a big disaster.
13,"Honey, I Shrunk the Kids",PG,32000000,222724172,6/22/1989,Family,93,6.3,132480,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
14,Batman,PG,35000000,411348924,6/23/1989,Action,126,7.5,319517,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.
15,Ghostbusters II,PG,37000000,215394738,6/15/1989,Comedy,108,6.6,171196,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.
16,The Little Mermaid,PG,40000000,222300000,11/17/1989,Animation,83,7.6,219221,A mermaid princess makes a Faustian bargain in an attempt to become human and win a princes love.
17,Back to the Future Part II,PG,40000000,332000000,11/20/1989,Science Fiction,108,7.8,438940,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
18,Indiana Jones and the Last Crusade,PG-13,48000000,474171806,5/24/1989,Adventure,127,8.2,647495,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry Indiana Jones, Jr. finds himself up against Adolf Hitlers Nazis again to stop them from obtaining its powers."
19,Tango & Cash,R,55000000,63408614,12/22/1989,Action,104,6.8,79806,"Framed by their ruthless arch-nemesis, a mismatched LAPD crime-fighting duo has to put its differences aside to even the score with the evil kingpin who put them behind bars once and for all."
20,Steel Magnolias,PG,15000000,95904091,11/15/1989,Drama,119,7.3,43037,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold."
21,Three Men and a Little Lady,PG,11000000,71600000,11/21/1990,Family,104,6.1,127793,"Sequel to Three Men and a Baby (1987), Mary starts school. Actress mom is now living in the apartment in NYC with the biological dad and 2 honorary dads, who are still actor, architect and cartoonist. Mom's English boyfriend proposes."
22,Teenage Mutant Ninja Turtles,PG,13500000,202000000,3/30/1990,Action,93,6.8,79806,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.
23,Pretty Woman,R,14000000,463000000,3/23/1990,Romance,119,7,266405,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
24,Kindergarten Cop,PG-13,15000000,201957688,12/21/1990,Action,111,6.1,127793,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminals ex-wife, who may hold the key to putting him behind bars."
25,Home Alone,PG,18000000,476684675,11/9/1990,Family,103,7.6,414472,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
26,Bird on a Wire,PG-13,20000000,138700000,5/18/1990,Comedy,110,6,37415,An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys.
27,Misery,R,20000000,61276872,11/28/1990,Drama,107,7.8,168946,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
28,Edward Scissorhands,PG-13,20000000,53000000,12/5/1990,Drama,105,7.9,421760,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
29,Ghost,PG-13,22000000,505000000,7/12/1990,Thriller,127,7,183054,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
30,Presumed Innocent,R,22000000,221303188,7/26/1990,Crime,127,6.9,35122,"As a lawyer investigates the murder of a colleague, he finds himself more connected to the crime than anyone else."
31,Dances with Wolves,PG-13,22000000,424208848,11/9/1990,Western,181,8,224754,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military."
32,Flatliners,R,26000000,61489265,8/9/1990,Horror,115,6.6,76155,"Five medical students experiment with near death experiences, until the dark consequences of past tragedies begin to jeopardize their lives."
33,The Hunt for Red October,PG,30000000,199200000,3/2/1990,Thriller,134,7.6,167212,"In November 1984, the Soviet Unions best submarine Captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war?"
34,Another 48 Hrs.,R,38000000,153518974,6/8/1990,Action,95,5.9,36103,"Jack Cates once again enlists the aid of ex-con Reggie Hammond--this time, to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area."
35,Back to the Future Part III,PG,40000000,244527583,5/25/1990,Family,118,7.4,369652,"Learning about the death of Doc Brown in 1885, Marty travels back in time to save him. But when the fuel tank on the time machine is punctured, the two must figure out a way to escape the Old West before Emmet is murdered."
36,Dick Tracy,PG,47000000,103738726,6/15/1990,Crime,103,6.1,54312,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprices united mob.
37,The Godfather: Part III,R,54000000,136766062,12/24/1990,Drama,162,7.6,332236,"In the midst of trying to legitimize his business dealings in New York City and Italy in 1979, aging Mafia Don Michael Corleone seeks to avow for his sins, while taking his nephew Vincent Mancini under his wing."
38,Days of Thunder,PG-13,60000000,157920733,6/27/1990,Adventure,107,6,73649,A young hot-shot stock car driver gets his chance to compete at the top level.
39,Total Recall,R,65000000,261317921,6/1/1990,Science Fiction,113,7.5,282870,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or does he?"
40,Die Hard 2,R,70000000,240031094,7/2/1990,Thriller,124,7.2,317843,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C."
41,Fried Green Tomatoes,PG-13,11000000,119418501,12/27/1991,Comedy,130,7.7,62493,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.
42,The Silence of the Lambs,R,19000000,272742922,2/1/1991,Crime,119,8.6,1166583,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
43,Sleeping with the Enemy,R,19000000,174999005,2/8/1991,Drama,99,6.2,46455,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband."
44,Father of the Bride,PG,20000000,89325780,12/20/1991,Romance,105,6.5,64326,"With his oldest daughters wedding approaching, a father finds himself reluctant to let go."
45,The Naked Gun 2 1/2: The Smell of Fear,PG-13,23000000,86900000,6/28/1991,Drama,85,6.5,64326,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.
46,Teenage Mutant Ninja Turtles II,PG,25000000,78600000,3/22/1991,Action,88,8,397467,"The Turtles and the Shredder battle once again, this time for the last canister of the ooze that created the Turtles, with which Shredder wants to unleash an army of new mutants."
47,Beauty and the Beast,PG,25000000,377350553,11/13/1991,Animation,84,8,397467,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young womans love.
48,Hot Shots!,PG-13,26000000,181096164,7/31/1991,Comedy,84,6.8,93277,A parody of Top Gun (1986) in which a talented but unstable fighter pilot must overcome the ghosts of his father and save a mission sabotaged by greedy weapons manufacturers.
49,City Slickers,PG-13,27000000,179033791,6/7/1991,Comedy,112,6.7,45166,"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest."
50,Star Trek VI: The Undiscovered Country,PG,27000000,96900000,12/5/1991,Science Fiction,113,7.2,66086,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace."
51,The Addams Family,PG-13,30000000,191502426,11/22/1991,Comedy,99,6.9,119260,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.
52,The Prince of Tides,R,30000000,74787599,12/25/1991,Romance,132,6.7,14918,A troubled man talks to his suicidal sisters psychiatrist about their family history and falls in love with her in the process.
53,What About Bob?,PG,35000000,63710000,5/17/1991,Comedy,100,7,58797,"A successful psychotherapist loses his mind after one of his most dependent patients, an obsessive-compulsive neurotic, tracks him down during his family vacation."
54,Cape Fear,R,35000000,182300000,11/15/1991,Crime,128,7.3,157496,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him."
55,JFK,R,40000000,205405498,12/20/1991,Drama,189,8,132879,New Orleans District Attorney Jim Garrison discovers theres more to the Kennedy assassination than the official story.
56,Robin Hood: Prince of Thieves,PG-13,48000000,390493908,6/14/1991,Adventure,143,6.9,168877,"When Robin and his Moorish companion come to England and the tyranny of the Sheriff of Nottingham, he decides to fight back as an outlaw."
57,Hook,PG,70000000,300854823,12/11/1991,Family,144,6.8,218151,"When Captain Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy."
58,Backdraft,R,75000000,152368585,5/24/1991,Mystery,137,6.7,67442,"Two Chicago firefighter brothers, who dont get along, have to work together while a dangerous arsonist is on the loose."
59,Terminator 2: Judgment Day,R,100000000,520000000,7/1/1991,Science Fiction,137,8.5,930593,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
60,The Crying Game,R,3705538,62548947,9/2/1992,Romance,112,7.2,48101,"A British soldier kidnapped by IRA terrorists soon befriends one of his captors, who then becomes drawn into the soldiers world."
61,The Hand that Rocks the Cradle,R,11700000,88036683,1/10/1992,Drama,110,8.2,348791,"After her humiliated husband kills himself, an embittered pregnant widow loses her child, and embarks on a mission of vengeance against a woman and her family."
62,Unforgiven,R,14000000,159157447,8/7/1992,Western,131,8.2,348791,"Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The Schofield Kid (Jaimz Woolvett)."
63,Home Alone 2: Lost in New York,PG,18000000,358991681,11/19/1992,Family,120,6.7,269944,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind."
64,Wayne's World,PG-13,20000000,121697323,2/14/1992,Comedy,94,7,135657,Two slacker friends try to promote their public-access cable show.
65,The Bodyguard,R,25000000,411006740,11/25/1992,Action,129,6.3,110511,"A former Secret Service agent takes on the job of bodyguard to an RB singer, whose lifestyle is most unlike a Presidents."
66,Aladdin,G,28000000,504050219,11/25/1992,Animation,90,8,336384,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
67,White Men Can't Jump,R,31000000,90753806,3/26/1992,Comedy,115,6.8,70430,Black and white basketball hustlers join forces to double their chances of winning money on the street courts and in a basketball tournament.
68,Sister Act,PG,31000000,231605150,5/28/1992,Comedy,100,6.4,80510,"When a worldly singer witnesses a mob crime, the police hide her as a nun in a traditional convent where she has trouble fitting in."
69,Scent of a Woman,R,31000000,134095253,12/23/1992,Drama,157,8,238212,"A prep school student needing money agrees to babysit a blind man, but the job is not at all what he anticipated."
70,Lethal Weapon 3,R,35000000,321731527,5/15/1992,Action,118,6.7,148440,Martin Riggs and Roger Murtaugh pursue a former LAPD officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.
71,Under Siege,R,35000000,156563139,10/8/1992,Action,103,6.5,71962,An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.
72,Boomerang,R,40000000,70100000,6/30/1992,Romance,117,5.5,24114,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.
73,A League of Their Own,PG,40000000,107458785,7/1/1992,Comedy,128,7.2,85932,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.
74,The Last of the Mohicans,R,40000000,75505856,9/25/1992,Action,112,7.7,139000,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
