id;title;release_date;genre;description;budget;gross_earnings;world_wide_earnings
0;Kate & Leopold;4/5/2002;Comedy, Fantasy, Romance;An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.;48000000.0;47121859.0;76019048.0
1;A Clockwork Orange;3/17/2000;Crime, Drama, Sci-Fi;In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn\'t go as planned.;2200000.0;26589355.0;26903440.0
2;The Evil Dead;10/31/2018;Horror;Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.;350000.0;2400000.0;2893091.0
3;Manhunter;8/18/1989;Crime, Horror, Mystery;"Former F.B.I. profiler Will Graham (William Petersen) returns to service to pursue a deranged serial killer named ""the Tooth Fairy"" (Tom Noonan) by the media.";15000000.0;8620929.0;8620929.0
4;King Lear;4/3/2002;Comedy, Drama, Sci-Fi;Everything returns to normal after Chernobyl. That is, everything but art. Most of the great works are lost, and it is up to people like William Shakespear Junior the Fifth to restore the ...;2000000.0;61821.0;85018.0
5;No Man's Land;2/3/1989;Crime, Drama, Thriller;A rookie cop goes undercover and infiltrates a car thief ring.;8000000.0;2877571.0;2877571.0
6;Pinocchio and the Emperor of the Night;7/19/1991;Animation, Adventure, Family;Pinocchio and his friends, a glow worm and a marionette, search for a magic music box. However, so is the evil Scalawag and the Emperor of the Night.;8000000.0;3261638.0;3261638.0
7;The Sicilian;5/19/1989;Action, Crime, Drama;Egocentric bandit Salvatore Giuliano fights the Church, the Mafia, and the landed gentry while leading a populist movement for Sicilian independence.;9000000.0;5406879.0;5406879.0
8;The Accused;2/24/1989;Crime, Drama;After a young woman suffers a brutal gang rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack.;6000000.0;32078318.0;32078318.0
9;Apartment Zero;9/15/1989;Drama, Thriller;Set in modern day Buenos Aires, the film centers around a relationship between two emotionally crippled roommates. Adrian LeDuc is a lonely sociopath who is forced to rent his insane ...;4000000.0;1267578.0;1267578.0
10;Beaches;5/26/1989;Comedy, Drama, Music;A privileged rich debutante and a cynical struggling entertainer share a turbulent, but strong childhood friendship over the years.;20000000.0;57041866.0;57041866.0
